Formula,Energy above hull [eV/atom],Heat of formation [eV/atom],Magnetic,Layer group (not Space group),2D Bravais type,Band gap (HSE06) [eV],Thickness [Å],Energy [eV],Unit cell area [Å2],Vacuum level [eV],Stoichiometry,Total magnetic moment [μB]
Ta2Rh2Te8,0,-0.444,No,p2_1/m11,Rectangular (op),0.001,4.005,-64.89,47.833,2.343,ABC4,
Ta4Pd6Se10,0.044,-0.608,No,pmmn,Rectangular (op),0.009,4.04,-109.166,65.202,2.335,A2B3C5,0
Nb4Ni6S10,0.039,-0.752,No,pmmn,Rectangular (op),0.009,3.328,-140.612,58.655,2.141,A2B3C5,0
Pt2Ta4Te14,0.019,-0.365,No,p2_1/m11,Rectangular (op),0.009,6.572,-104.149,76.306,2.388,AB2C7,0
Pt2Nb4Te14,0.013,-0.413,No,p2_1/m11,Rectangular (op),0.013,6.612,-107.147,75.946,2.382,AB2C7,0
Co2S3,0.065,-0.381,No,pm2m,Rectangular (op),0.015,2.961,-30.596,17.535,3.129,A2B3,0
Nb2Cr2Te10,0.003,-0.313,Yes,p2_1/m11,Rectangular (op),0.029,8.44,-75.895,41.952,2.741,ABC5,0
Nb2Ir2Te8,0.008,-0.424,No,p2_1/m11,Rectangular (op),0.033,4.029,-69.926,47.662,2.39,ABC4,
W2Te4,0,-0.136,No,p2_1/m11,Rectangular (op),0.044,4.18,-36.604,22.044,4.751,AB2,
Mo2S4,0.18,-0.741,No,p2_1/m11,Rectangular (op),0.069,3.463,-43.161,18.221,4.369,AB2,
Co2Se3,0.046,-0.255,No,pm2m,Rectangular (op),0.07,3.19,-28.18,19.287,3.16,A2B3,0
Bi2As2,0.067,0.067,No,pm2_1n,Rectangular (op),0.071,2.914,-18.405,19.554,3.32,AB,0
Ti2N2I2,0.002,-1.18,No,pmmn,Rectangular (op),0.078,5.82,-40.119,14.037,4.467,ABC,
Rh2S2Cl2,0.094,-0.533,No,pm2_1n,Rectangular (op),0.081,4.926,-29.216,18.988,3.555,ABC,0
In4F4,0.037,-1.726,No,pmma,Rectangular (op),0.085,3.025,-31.205,26.637,2.727,AB,0
MoV3Te8,0.031,-0.285,Yes,pm2m,Rectangular (op),0.086,3.567,-65.838,44.229,4.444,AB3C8,2.908
Cu2Sb2Te4,0.089,-0.011,No,pm2_1b,Rectangular (op),0.1,5.763,-29.072,29.891,2.196,ABC2,0
Mo2Se4,0.109,-0.598,No,p2_1/m11,Rectangular (op),0.108,3.747,-39.926,19.585,4.449,AB2,
W2Se4,0.092,-0.503,No,p2_1/m11,Rectangular (op),0.118,3.784,-39.918,19.659,4.541,AB2,
Nb4Pd6Se10,0.034,-0.619,No,pmmn,Rectangular (op),0.118,4.001,-111.439,65.327,2.315,A2B3C5,0
Ta2Ir2Te8,0.007,-0.39,No,p2_1/m11,Rectangular (op),0.119,4.031,-68.501,47.767,2.394,ABC4,
Hf2Te10,0,-0.455,No,pmmn,Rectangular (op),0.126,5.298,-52.522,55.587,2.113,AB5,
Mn4Se6,0.005,-0.418,Yes,pm2_1b,Rectangular (op),0.138,3.877,-63.939,28.708,4.095,A2B3,3.996
Zr2Te10,0,-0.514,No,pmmn,Rectangular (op),0.142,5.352,-53.026,55.788,2.101,AB5,
Tl4As4,0.055,0.055,No,pbma,Rectangular (op),0.158,5.01,-28.201,31.537,3.361,AB,0
Rh2Se2Br2,0.023,-0.495,No,pmmn,Rectangular (op),0.165,5.795,-27.402,18.24,3.88,ABC,
Rh2Se2Cl2,0.034,-0.579,No,pmmn,Rectangular (op),0.195,5.527,-28.304,17.907,3.86,ABC,
Ta4Ge2Se8,0.028,-0.697,No,pbam,Rectangular (op),0.197,3.444,-85.912,48.185,2.336,AB2C4,0
Ta4Ni6Se10,0,-0.63,No,pmmn,Rectangular (op),0.228,3.623,-130.168,60.955,2.264,A2B3C5,0
Hf2Se10,0,-0.69,No,pmmn,Rectangular (op),0.229,5.243,-58.119,46.24,2.017,AB5,0
Zr2Se10,0,-0.727,No,pmmn,Rectangular (op),0.243,5.321,-58.362,46.482,2.003,AB5,0
Co2S2Cl2,0,-0.567,No,pmmn,Rectangular (op),0.29,5.173,-31.585,14.688,3.9,ABC,
Ti2Se6,0.018,-0.83,No,pmmn,Rectangular (op),0.32,6.013,-40.917,19.058,5.03,AB3,
Nb4Ge2Se8,0.009,-0.776,No,pbam,Rectangular (op),0.331,3.434,-89.059,48.108,2.313,AB2C4,0
Tl2Pb2As2,0,-0.017,No,pm2_1n,Rectangular (op),0.335,4.309,-21.943,29.761,2.987,ABC,0
Sn2Te6,0.096,-0.043,No,p2_111,Rectangular (op),0.346,6.796,-27.687,28.376,4.423,AB3,0
Bi4,0.096,0.096,No,pm2_1n,Rectangular (op),0.346,3.481,-18.315,22.238,3.658,A,0
Cu2As2Se4,0.058,-0.089,No,pm2_1b,Rectangular (op),0.361,5.047,-31.324,25.272,2.031,ABC2,0
Ta4Sn2Te8,0.004,-0.352,No,pbam,Rectangular (op),0.362,3.781,-77.943,55.509,2.45,AB2C4,0
CoNiTe2SeBr,0.049,-0.259,No,pm11,Rectangular (op),0.372,2.88,-28.506,23.373,3.61,ABCDE2,0
Nb4Ni6Se10,0,-0.649,No,pmmn,Rectangular (op),0.406,3.619,-132.606,61.295,2.235,A2B3C5,0
Bi2As2,0.072,0.072,No,p2/m11,Rectangular (op),0.417,2.977,-18.385,19.623,3.262,AB,0
Ta4Si2S8,0.1,-0.861,No,pbam,Rectangular (op),0.42,3.175,-94.74,44.248,2.276,AB2C4,0
Ti2I4,0.004,-0.717,No,p2_1/m11,Rectangular (op),0.423,4.098,-23.595,25.019,4.018,AB2,
Nb4Sn2Te8,0,-0.461,No,pbam,Rectangular (op),0.427,3.772,-81.508,55.51,2.428,AB2C4,0
Co2S2Br2,0,-0.447,No,pmmn,Rectangular (op),0.428,5.446,-30.465,15.06,3.932,ABC,
Ni4S2Se6,0.016,-0.258,No,pb11,Rectangular (op),0.44,2.56,-61.134,42.232,3.507,AB2C3,0
Ta4Ge2Te8,0,-0.404,No,pbam,Rectangular (op),0.447,3.799,-79.588,51.943,2.516,AB2C4,0
Co2S2I2,0.04,-0.288,No,pmmn,Rectangular (op),0.45,5.761,-29.296,15.661,4.317,ABC,
WMnTe3Se,0.096,-0.187,Yes,pm11,Rectangular (op),0.458,3.953,-35.42,20.969,4.379,ABCD3,1.001
Ag4Se4O12,0.014,-0.522,No,p2_1/b11,Rectangular (op),0.477,2.794,-97.229,79.974,1.072,ABC3,0
Rh2S2I2,0.038,-0.398,No,pmmn,Rectangular (op),0.483,6.011,-27.794,17.317,4.248,ABC,
Ta4Ni6Te10,0,-0.416,No,pmmn,Rectangular (op),0.51,3.924,-123.109,66.134,2.418,A2B3C5,0
Ir2Se2I2,0.042,-0.213,No,pmmn,Rectangular (op),0.52,6.014,-29.755,18.941,4.344,ABC,
Nb4Ge2Te8,0.002,-0.5,No,pbam,Rectangular (op),0.535,3.784,-82.982,52.02,2.487,AB2C4,
Ta4Si2Se8,0.017,-0.745,No,pbam,Rectangular (op),0.545,3.436,-88.36,46.586,2.359,AB2C4,0
Nb4Si2S8,0.07,-0.93,No,pbam,Rectangular (op),0.555,3.159,-97.755,44.227,2.249,AB2C4,0
Fe2Te4,0.092,-0.101,No,p2_1/m11,Rectangular (op),0.581,3.482,-31.512,21.664,4.358,AB2,
Ir2Se2Br2,0.015,-0.322,No,pmmn,Rectangular (op),0.598,5.729,-30.616,18.365,4.039,ABC,
Rh2S2Br2,0,-0.524,No,pmmn,Rectangular (op),0.598,5.716,-28.767,16.737,3.92,ABC,
NbMnSe4,0.027,-0.647,No,pm2m,Rectangular (op),0.598,3.373,-37.854,19.034,4.321,ABC4,0
Ti4Te4Br4,0.082,-0.877,Yes,pm2_1n,Rectangular (op),0.599,3.633,-56.446,45.997,3.943,ABC,3.901
Ir2Se2Cl2,0.022,-0.408,No,pmmn,Rectangular (op),0.609,5.458,-31.535,18.034,4.015,ABC,
Cu4H4O4I4,0.053,-0.539,No,p2_1/b11,Rectangular (op),0.615,5.201,-63.041,38.115,1.904,ABCD,0
Ti4Te4I4,0.081,-0.68,Yes,pm2_1n,Rectangular (op),0.618,3.736,-53.657,49.609,4.03,ABC,3.922
Pb3Se3,0.08,-0.503,No,pm2m,Rectangular (op),0.622,6.086,-24.742,19.218,4.385,AB,0
Rh2S2Cl2,0.007,-0.62,No,pmmn,Rectangular (op),0.623,5.438,-29.741,16.43,3.893,ABC,
Tl2Sn2P2,0.049,0.026,No,pm2_1n,Rectangular (op),0.625,5.343,-23.678,24.448,3.088,ABC,0
Nb4Si2Se8,0,-0.825,No,pbam,Rectangular (op),0.636,3.415,-91.51,46.671,2.329,AB2C4,0
V2IBrS2,0.045,-0.826,Yes,pm11,Rectangular (op),0.638,5.647,-33.222,17.817,3.921,ABC2D2,4
Tl4Sn4As4,0.057,0.017,No,pb2_1a,Rectangular (op),0.651,3.851,-44.667,55.056,3.224,ABC,0
