tier,repeat,fold,n_train,n_valid,variant,r2,mse,rmse,mae,max_error,negative_predictions
full,0,0,792,198,prior_xgb,0.851571194215777,0.3520458777730602,0.593334541193297,0.38716613425750923,3.071925397872925,0
full,0,0,792,198,prior_gbr,0.8642142566234929,0.32205885483942265,0.5675022950080666,0.38063554178148296,2.9179506321375666,0
full,0,0,792,198,prior_rf,0.8551100705817649,0.3436523127233913,0.5862186560690399,0.40709059705743816,2.8121417976190513,0
full,0,0,792,198,rf,0.8669386200114649,0.31559716503989893,0.5617803530205546,0.4001810606060607,2.3319800000000024,0
full,0,0,792,198,gbr,0.8377326617803283,0.38486833614014315,0.620377575465251,0.4532592774468159,2.6275387865866806,0
full,0,0,792,198,svr,0.808728642029756,0.4536605462376978,0.6735432771824672,0.4628632880018644,3.057965894457941,0
full,0,0,792,198,mlp,0.8701666788992556,0.30794080198657464,0.5549241407495034,0.382723632247761,2.0113970661163334,1
full,0,0,792,198,pinn,0.8412693734638412,0.3764799053198982,0.6135795835259663,0.4156279510952005,2.4960315151214596,1
full,0,0,792,198,stack_ridge,0.8924355866312975,0.25512304112032574,0.505097061088585,0.3531807636520485,2.0251323743591723,0
full,0,0,792,198,stack_nnls,0.8930728025082859,0.25361168204443685,0.5035987311783429,0.3525096752921186,2.020856106291922,0
full,0,1,792,198,prior_xgb,0.8917230421874323,0.27977463568132865,0.5289372700815558,0.37324573341885003,2.355579158782959,0
full,0,1,792,198,prior_gbr,0.8901194726490533,0.28391806649480095,0.5328396254923248,0.37785157248197637,2.1239692922129327,0
full,0,1,792,198,prior_rf,0.8700345094678088,0.33581519558142336,0.5794956389666995,0.41484565121311895,2.183127686553033,0
full,0,1,792,198,rf,0.8642528189305088,0.35075438852121205,0.5922452097916977,0.4193735353535354,1.8681400000000008,0
full,0,1,792,198,gbr,0.8695106740217726,0.3371687233682443,0.5806623144033409,0.43729130125403426,1.869937101187782,0
full,0,1,792,198,svr,0.7817216237026916,0.5640050703253424,0.7510027099320896,0.5001522527508868,3.833101420225031,0
full,0,1,792,198,mlp,0.8804698311813369,0.30885157941044045,0.5557441672302468,0.3603344745298829,3.1651752624511715,0
full,0,1,792,198,pinn,0.8756898292443048,0.32120252948796446,0.5667473242000922,0.3771845687435131,2.925420824050903,1
full,0,1,792,198,stack_ridge,0.9042597602116202,0.24738126419477197,0.4973743702632575,0.35105243520638885,1.9500879970012401,0
full,0,1,792,198,stack_nnls,0.8994082116743586,0.25991708208182657,0.5098206371674519,0.3619731305996584,2.1709599005407068,0
full,0,2,792,198,prior_xgb,0.8676948441915682,0.3071452833132879,0.5542068957648288,0.37134347064206097,2.7360810165405276,0
full,0,2,792,198,prior_gbr,0.857822008662126,0.3300649862323993,0.5745128251243825,0.39905797800002274,2.8116221330915323,0
full,0,2,792,198,prior_rf,0.8274760310399186,0.40051291274924017,0.6328608952599617,0.43010142936667883,3.200393936011901,0
full,0,2,792,198,rf,0.8332184421792148,0.3871819545904039,0.6222394672394254,0.4261028787878787,3.0343799999999996,0
full,0,2,792,198,gbr,0.8327150373184126,0.38835060465281185,0.6231778274720723,0.44286696015355437,2.997729308610647,0
full,0,2,792,198,svr,0.7730386703208816,0.5268887782906094,0.7258710479765738,0.46944901728089156,3.8227806678666036,0
full,0,2,792,198,mlp,0.7979248781923677,0.4691156603756247,0.6849201854052958,0.4744908633208034,3.644496334075928,0
full,0,2,792,198,pinn,0.8358411026947095,0.3810934707203383,0.617327685042829,0.4214377269419757,3.287250411987305,0
full,0,2,792,198,stack_ridge,0.8513759117805816,0.3450295448004238,0.5873921558894226,0.38941124027207513,3.4032194398555706,0
full,0,2,792,198,stack_nnls,0.8515597858475066,0.3446026827326945,0.5870286898718788,0.39002392779004486,3.3861820625716925,0
full,0,3,792,198,prior_xgb,0.8504940499871634,0.42067195523437784,0.6485922873688661,0.42500697010815747,3.3246544647216805,0
full,0,3,792,198,prior_gbr,0.8488260665973608,0.4253652389052047,0.6522003058150193,0.4312607276301321,3.421327034275074,0
full,0,3,792,198,prior_rf,0.837300357953183,0.45779566987060605,0.6766059930791376,0.4675738146489882,3.107780749999999,0
full,0,3,792,198,rf,0.8268283052886237,0.4872613792242425,0.6980411013860448,0.47773303030303027,3.1853,0
full,0,3,792,198,gbr,0.8309958010221508,0.4755350995778255,0.6895905303713397,0.49478079420396126,2.9050967407542494,0
full,0,3,792,198,svr,0.8045914199305246,0.5498303541788252,0.7415054646992328,0.5209708239915853,3.19516320979859,0
full,0,3,792,198,mlp,0.8810863098362882,0.33459306830937896,0.5784402028813168,0.40151149025469124,2.8340585613250733,0
full,0,3,792,198,pinn,0.8827097989355762,0.3300249803259872,0.5744780068253155,0.40537688874355476,2.8101311111450196,0
full,0,3,792,198,stack_ridge,0.8870387056680016,0.3178445309258112,0.5637770223464337,0.3914454052137507,2.878155906925356,0
full,0,3,792,198,stack_nnls,0.885111098840389,0.3232683293299905,0.5685669084021603,0.3928708910600434,2.9153169249707727,0
full,0,4,792,198,prior_xgb,0.7975253633760242,0.37181568867155196,0.6097669133952349,0.40762552355154597,2.715279678344727,0
full,0,4,792,198,prior_gbr,0.7941849589276221,0.3779498633076114,0.6147762709373317,0.4297383999123476,2.6775934927047578,0
full,0,4,792,198,prior_rf,0.7327397701581289,0.4907851574403349,0.7005606022610285,0.5099940949431052,2.6698223095237994,0
full,0,4,792,198,rf,0.7344612139775766,0.4876239722671715,0.6983007749295225,0.5111506565656564,2.742799999999998,0
