fold,model,n_valid,n_train,r2,mse,rmse,mae,max_error,negative_predictions
0,rf,198,792,0.7969679801832793,0.514382915745012,0.7172049328783315,0.5163719152429912,2.5289542463924954,0
0,gbr,198,792,0.802970273695403,0.4991760668907741,0.7065239322845152,0.4569277722010409,3.0904509838308387,0
0,svr,198,792,0.8044538705872221,0.4954173647131913,0.7038589096638553,0.45682352258837483,4.327450346046189,0
0,mlp,198,792,0.8394029687748459,0.4068736017902941,0.6378664451045329,0.4159852334625944,3.0413393325805664,0
0,pinn,198,792,0.8263242039816439,0.4400087357201218,0.6633315428351962,0.4391748787537969,2.9216798095703123,0
0,hybrid_rf,198,792,0.7660646007385881,0.5926768244569701,0.7698550671762641,0.5043986955869076,3.723880485534668,2
0,hybrid_gbr,198,792,0.7765157049801965,0.5661988852757194,0.7524618829387435,0.5154990091877754,3.60430509185791,2
1,rf,198,792,0.8163818911013982,0.43985863570191436,0.6632183921619743,0.45314534857110794,2.89872633920709,0
1,gbr,198,792,0.8483364157842774,0.36331131846929793,0.6027531156860975,0.39510428187906904,2.630130062625639,1
1,svr,198,792,0.8607308168910878,0.33362043234763267,0.5775988507152976,0.38884476823279335,2.4036499141026715,0
1,mlp,198,792,0.8790210723660289,0.2898059803412146,0.5383363078422396,0.35512744084482234,3.4002356424331666,1
1,pinn,198,792,0.8790003604266979,0.2898555959560985,0.5383823882298701,0.34653772437452063,3.145556797027588,1
1,hybrid_rf,198,792,0.8656595062848453,0.3218137178272591,0.5672862750210507,0.35596760533554384,3.1253711929321293,1
1,hybrid_gbr,198,792,0.8563441762629036,0.34412866475238546,0.586624807481226,0.411746747091563,2.3528079109191893,1
2,rf,198,792,0.7020165068038992,0.5881303806795425,0.7668965906036762,0.49572076326079917,3.050081393361506,0
2,gbr,198,792,0.7426131754394079,0.5080046867263869,0.712744475058479,0.4406410006500923,3.1560086193274195,0
2,svr,198,792,0.7083442332615166,0.5756413393221225,0.7587103131776465,0.45789213376268034,4.2589683825053,0
2,mlp,198,792,0.706038503459858,0.5801921610184816,0.7617034600279046,0.4417650787637692,4.715281379699707,0
2,pinn,198,792,0.7466004482454249,0.5001350015699252,0.7072022352693218,0.43233533936919594,4.398374450683594,0
2,hybrid_rf,198,792,0.648749510113628,0.6932635164284023,0.8326244750356564,0.49837936096962054,4.4999384002685545,3
2,hybrid_gbr,198,792,0.598682463822512,0.7920809062068225,0.8899892730852561,0.5054249189766971,4.893519790649414,3
3,rf,198,792,0.8572969157985261,0.3490785210927276,0.5908286732147717,0.42995967339805585,3.4907966833814346,0
3,gbr,198,792,0.8850625280895019,0.28115862342545755,0.5302439282306376,0.40892100742640497,1.7843228185387492,0
3,svr,198,792,0.8843712645178439,0.28284958383202446,0.5318360497672422,0.39696875642366325,2.3792914931543057,1
3,mlp,198,792,0.856706112568735,0.3505237366524777,0.5920504511040235,0.4173477202720112,2.5275297584533694,2
3,pinn,198,792,0.878216158196094,0.29790612885337414,0.5458077764683956,0.3671566333620235,3.098658126831055,2
3,hybrid_rf,198,792,0.8553251149425927,0.3539019159796021,0.5948965590584653,0.4299191970873361,2.1578981628417973,1
3,hybrid_gbr,198,792,0.7555649281035742,0.5979340522194371,0.7732619557558985,0.45332738464047206,7.045148384094238,5
4,rf,198,792,0.8992888420847844,0.2572234816786199,0.507172043471069,0.36221742424242437,2.2057433333333383,0
4,gbr,198,792,0.8946860686547399,0.26897929336386134,0.5186321368406139,0.39049992840318865,1.6165274178585611,0
4,svr,198,792,0.9185110456161653,0.2081286026182547,0.45621113820056464,0.34885717967004076,1.7707556943123177,1
4,mlp,198,792,0.9324281981693543,0.17258320219899367,0.41543134474783394,0.29307009532234884,2.0459656639099117,0
4,pinn,198,792,0.9216205964291713,0.20018658801793265,0.44742215861301804,0.3068495786900472,2.2132689876556393,1
4,hybrid_rf,198,792,0.8703126235799592,0.3312308107966732,0.5755265509050588,0.4116657598211308,3.2339723033905026,2
4,hybrid_gbr,198,792,0.8787060591158745,0.3097933776811613,0.5565908530340409,0.37893434230968204,3.169654361724853,7
