fraction,n_train,fold,stack_nnls,rf,gbr,svr,mlp,pinn
0.25,198,0,0.7138281380810635,0.6089816514095913,0.632758429519779,0.5361031994582302,0.6780400412784311,0.67095298684411
0.25,198,1,0.7044742886017612,0.6191471384963347,0.6342156590233853,0.5614461138180128,0.6810787908637669,0.6924649293210599
0.25,198,2,0.48684170954189565,0.5010832357768114,0.4908962855676713,0.533081513941321,0.4323335170573015,0.4865349832027751
0.25,198,3,0.776451969856701,0.7761367907946665,0.7674843325167658,0.5854169949250252,0.5375748576487278,0.5600829567806493
0.25,198,4,0.7534861591466795,0.6923688883597187,0.7299952612630195,0.6499844996667188,0.702753106585715,0.7333887629191393
0.5,396,0,0.802388266692621,0.7452441882511913,0.7208241893340543,0.6919792780041593,0.7612466216465933,0.7651933379821356
0.5,396,1,0.8097707147920329,0.7545005464662591,0.7826654718782824,0.657905399122333,0.8013408599384305,0.7620189643262781
0.5,396,2,0.7003668472349679,0.6734655256276284,0.6866821908969409,0.6317581085376378,0.7045259162973365,0.6207127417058521
0.5,396,3,0.8758960674377387,0.8253266405184334,0.8173558245141304,0.7400730838362941,0.8638345455923154,0.8593537013239342
0.5,396,4,0.7960870624246664,0.7540541063746969,0.7256492627583443,0.7253089040721528,0.75395053956291,0.7775537276257396
0.75,594,0,0.8197578256798277,0.7977915211780545,0.7918544803827486,0.758780806557925,0.8030525880838195,0.7691280453928007
0.75,594,1,0.8519589175801714,0.7753216699464699,0.7764447703065933,0.6929016174383694,0.8583148327593809,0.8431422272649143
0.75,594,2,0.7673910457404768,0.7137783609576964,0.6866126657626892,0.6515974673936749,0.7649306732905634,0.7691735633725192
0.75,594,3,0.8981775838896912,0.843060141019398,0.864903936394794,0.8032677482406061,0.8685107655078811,0.8711870408984415
0.75,594,4,0.9035901050120966,0.8641883905385579,0.8774018025212472,0.7837390769565094,0.8783417560375291,0.9153626015566274
1.0,792,0,0.85971933358488,0.799199600843539,0.8087339701870484,0.7871000602643687,0.8584297761279617,0.8647277218066353
1.0,792,1,0.8707477496459656,0.826071952644198,0.8124299856493705,0.7591268777041167,0.8552320295958434,0.8621582364753222
1.0,792,2,0.7459541396968511,0.7190931659040987,0.6934515298882609,0.6597358475510426,0.7428524761607853,0.7348090578719324
1.0,792,3,0.9102317354045122,0.858001879785304,0.8625578218273521,0.8225312971223856,0.8858155410420931,0.8902147999817854
1.0,792,4,0.9476834691003112,0.9018596483951065,0.8878420638596607,0.819835857579774,0.944731560416408,0.9295927974692937
