repeat,fold,n_train,n_valid,method,rf,gbr,svr,mlp,pinn
0,0,792,198,stack_ridge,0.2454,0.2192,0.0042,0.3494,0.2322
0,0,792,198,stack_nnls,0.2065,0.2085,0.0,0.4358,0.1742
0,1,792,198,stack_ridge,0.1467,0.4091,-0.158,0.3371,0.2895
0,1,792,198,stack_nnls,0.0,0.4218,0.0,0.3144,0.2795
0,2,792,198,stack_ridge,0.1856,0.2138,0.0252,0.342,0.2882
0,2,792,198,stack_nnls,0.12,0.2243,0.0,0.3838,0.2888
0,3,792,198,stack_ridge,0.3235,0.2021,-0.1057,0.2239,0.3899
0,3,792,198,stack_nnls,0.2086,0.2027,0.0,0.1825,0.4229
0,4,792,198,stack_ridge,0.1254,0.2724,-0.0594,0.3453,0.3164
0,4,792,198,stack_nnls,0.0105,0.3349,0.0,0.3661,0.298
1,0,792,198,stack_ridge,0.255,0.1714,-0.034,0.25,0.3843
1,0,792,198,stack_nnls,0.2539,0.1081,0.0,0.1681,0.4876
1,1,792,198,stack_ridge,0.1898,0.238,-0.0875,0.3336,0.3492
1,1,792,198,stack_nnls,0.0831,0.2425,0.0,0.3201,0.3722
1,2,792,198,stack_ridge,0.2379,0.2119,-0.0164,0.23,0.3819
1,2,792,198,stack_nnls,0.184,0.1943,0.0,0.1636,0.4779
1,3,792,198,stack_ridge,0.2769,0.2087,-0.152,0.3227,0.3703
1,3,792,198,stack_nnls,0.1588,0.1833,0.0,0.2746,0.4038
1,4,792,198,stack_ridge,0.1663,0.3094,-0.155,0.2403,0.4632
1,4,792,198,stack_nnls,0.0381,0.3037,0.0,0.2012,0.4782
2,0,792,198,stack_ridge,0.2567,0.2794,-0.1967,0.474,0.2214
2,0,792,198,stack_nnls,0.1329,0.232,0.0,0.4725,0.1925
2,1,792,198,stack_ridge,0.252,0.1723,0.0171,0.2969,0.3143
2,1,792,198,stack_nnls,0.2603,0.1199,0.0,0.2909,0.3575
2,2,792,198,stack_ridge,0.1476,0.2316,-0.1082,0.4439,0.3161
2,2,792,198,stack_nnls,0.0678,0.2056,0.0,0.4794,0.274
2,3,792,198,stack_ridge,0.3042,0.199,-0.1546,0.3369,0.3666
2,3,792,198,stack_nnls,0.1474,0.1912,0.0,0.3048,0.3862
2,4,792,198,stack_ridge,0.3279,0.3485,-0.2102,0.3247,0.2351
2,4,792,198,stack_nnls,0.1486,0.3653,0.0,0.2996,0.2056
3,0,792,198,stack_ridge,0.1769,0.2872,-0.0103,0.3342,0.2588
3,0,792,198,stack_nnls,0.0434,0.3657,0.0,0.4134,0.1982
3,1,792,198,stack_ridge,0.3518,0.2811,-0.1828,0.2768,0.3309
3,1,792,198,stack_nnls,0.2032,0.2453,0.0,0.2708,0.3111
3,2,792,198,stack_ridge,0.1564,0.2752,-0.1974,0.4808,0.3301
3,2,792,198,stack_nnls,0.0,0.2371,0.0,0.5139,0.2835
3,3,792,198,stack_ridge,0.1741,0.257,-0.0814,0.3445,0.3354
3,3,792,198,stack_nnls,0.0617,0.2651,0.0,0.3638,0.3273
3,4,792,198,stack_ridge,0.1182,0.3453,-0.0233,0.0957,0.5085
3,4,792,198,stack_nnls,0.0233,0.3798,0.0,0.0142,0.6003
4,0,792,198,stack_ridge,0.2039,0.4069,-0.1055,0.1223,0.4227
4,0,792,198,stack_nnls,0.0538,0.4443,0.0,0.0582,0.4708
4,1,792,198,stack_ridge,0.0529,0.3431,-0.0714,0.2269,0.4763
4,1,792,198,stack_nnls,0.0,0.3243,0.0,0.1762,0.5194
4,2,792,198,stack_ridge,0.3139,0.1938,-0.0862,0.2529,0.3577
4,2,792,198,stack_nnls,0.2479,0.157,0.0,0.2458,0.3663
4,3,792,198,stack_ridge,0.2397,0.2204,-0.0131,0.3069,0.2987
4,3,792,198,stack_nnls,0.1845,0.2047,0.0,0.3232,0.3124
4,4,792,198,stack_ridge,0.4333,-0.0204,-0.1073,0.4106,0.3103
4,4,792,198,stack_nnls,0.3288,0.0,0.0,0.4334,0.2577
