repeat,fold,n_train,n_valid,dropped,r2,mse,rmse,mae,max_error,negative_predictions
0,0,792,198,rf,0.8887947157050642,0.26375851854205706,0.5135742580601729,0.3604926764474372,2.0601341440530705,0
0,0,792,198,gbr,0.8939348303307204,0.25156711030642187,0.5015646621388132,0.3466915214893566,1.9610598557703263,0
0,0,792,198,svr,0.892954993668722,0.2538911029837524,0.503876078995374,0.35253153106958807,2.0224204749326216,0
0,0,792,198,mlp,0.8819903649510359,0.27989718934265656,0.5290531063538485,0.36105008164344,2.174199754459816,0
0,0,792,198,pinn,0.8947821597924209,0.24955740038164503,0.49955720431362516,0.3543295394783337,1.9991790095065678,0
0,1,792,198,rf,0.8993959677104264,0.2599487190119514,0.5098516637336309,0.36198145836660356,2.171420781457332,0
0,1,792,198,gbr,0.9009789366809786,0.2558585175879536,0.5058245917192575,0.34853973994859994,2.2185679014273543,0
0,1,792,198,svr,0.8993959677104264,0.2599487190119514,0.5098516637336309,0.36198145836660356,2.171420781457332,0
0,1,792,198,mlp,0.8972918269612001,0.26538556562668575,0.5151558653715259,0.368204495965611,2.060940057971049,0
0,1,792,198,pinn,0.8980686696247832,0.2633782976208569,0.5132039532397007,0.36499692057737226,2.189451869388935,0
0,2,792,198,rf,0.8512044395854956,0.34542761602915395,0.5877309044359961,0.39299643436355985,3.379199702828358,0
0,2,792,198,gbr,0.848858954710738,0.35087263902891963,0.5923450337674147,0.39037270088722364,3.407157455992996,0
0,2,792,198,svr,0.8516560375925799,0.34437923513286883,0.5868383381587035,0.38998488079029514,3.383186432051394,0
0,2,792,198,mlp,0.8621718357701356,0.31996689994626953,0.5656561676020775,0.36943255475799963,3.2979143299871927,0
0,2,792,198,pinn,0.8364745037626011,0.3796230355792449,0.6161355659100073,0.4218182889538144,3.4279959342630155,0
0,3,792,198,rf,0.8847248634052894,0.32435509822213265,0.5695218154049349,0.3956548856162204,2.8982722630960467,0
0,3,792,198,gbr,0.8851987731302648,0.32302163603823375,0.5683499239361555,0.3911812729494195,2.922836581892128,0
0,3,792,198,svr,0.8851500494617777,0.32315873212629537,0.5684705200151503,0.3927607638987165,2.9140217451343053,0
0,3,792,198,mlp,0.884435259059529,0.3251699716526881,0.5702367680645366,0.3959465020250258,2.9149805680881578,0
0,3,792,198,pinn,0.879482635241642,0.33910540328488703,0.5823275738661935,0.39819252417577644,2.919645885122211,0
0,4,792,198,rf,0.836462178804111,0.3003138004130356,0.5480089419097426,0.38115262332310795,2.525556483637126,0
0,4,792,198,gbr,0.8317040709598108,0.309051384410717,0.5559239016364713,0.38429345027044554,2.4352907772577304,0
0,4,792,198,svr,0.8361202474062115,0.30094170848245244,0.5485815422363867,0.38060819539828894,2.5153643014557963,0
0,4,792,198,mlp,0.8163383532639543,0.3372683255658099,0.5807480740956529,0.4218993490601479,2.3168189094702103,0
0,4,792,198,pinn,0.8368401804460893,0.2996196545033326,0.5473752410397575,0.37993661970324266,2.5856337632731057,0
1,0,792,198,rf,0.9093322400093526,0.18479844082553717,0.42988189171624475,0.30689903196108204,1.6823762506255515,0
1,0,792,198,gbr,0.9106591355225888,0.18209397098962482,0.4267247016398568,0.3062105393475037,1.689904075875344,0
1,0,792,198,svr,0.910803256019418,0.1818002255269841,0.4263803765735287,0.3055815751661306,1.7045645672802627,0
