repeat,fold,n_train,n_valid,method,rf,gbr,svr,mlp,pinn
0,0,792,198,stack_ridge,0.2454,0.2192,0.0042,0.3494,0.2322
0,0,792,198,stack_nnls,0.2065,0.2085,0.0,0.4358,0.1742
0,1,792,198,stack_ridge,0.1498,0.4361,-0.1421,0.2732,0.3099
0,1,792,198,stack_nnls,0.0,0.4574,0.0,0.262,0.2935
0,2,792,198,stack_ridge,0.1829,0.2245,0.0173,0.2998,0.328
0,2,792,198,stack_nnls,0.1161,0.2407,0.0,0.3038,0.3618
0,3,792,198,stack_ridge,0.2746,0.1979,-0.1034,0.1602,0.499
0,3,792,198,stack_nnls,0.171,0.1937,0.0,0.0796,0.577
0,4,792,198,stack_ridge,0.1418,0.2807,-0.0468,0.3801,0.2535
0,4,792,198,stack_nnls,0.0374,0.3381,0.0,0.4756,0.1628
1,0,792,198,stack_ridge,0.3071,0.1242,-0.1124,0.2953,0.4072
1,0,792,198,stack_nnls,0.2688,0.0636,0.0,0.2685,0.4183
1,1,792,198,stack_ridge,0.2071,0.2516,-0.1608,0.4942,0.2265
1,1,792,198,stack_nnls,0.0927,0.2295,0.0,0.5391,0.1582
1,2,792,198,stack_ridge,0.2384,0.2184,-0.002,0.293,0.3
1,2,792,198,stack_nnls,0.2006,0.2009,0.0,0.3079,0.3148
1,3,792,198,stack_ridge,0.3133,0.2415,-0.1411,0.3878,0.2377
1,3,792,198,stack_nnls,0.1902,0.2191,0.0,0.4297,0.1832
1,4,792,198,stack_ridge,0.147,0.3327,-0.182,0.3994,0.3229
1,4,792,198,stack_nnls,0.0038,0.3302,0.0,0.4232,0.263
2,0,792,198,stack_ridge,0.2575,0.2786,-0.2142,0.4114,0.3002
2,0,792,198,stack_nnls,0.113,0.233,0.0,0.4302,0.2434
2,1,792,198,stack_ridge,0.2765,0.1776,0.0055,0.3596,0.2288
2,1,792,198,stack_nnls,0.2924,0.112,0.0,0.4382,0.1794
2,2,792,198,stack_ridge,0.1943,0.2549,-0.1009,0.2116,0.4895
2,2,792,198,stack_nnls,0.1078,0.2271,0.0,0.15,0.5488
2,3,792,198,stack_ridge,0.2568,0.2121,-0.1016,0.3599,0.3224
2,3,792,198,stack_nnls,0.153,0.184,0.0,0.4225,0.27
2,4,792,198,stack_ridge,0.3506,0.3297,-0.1925,0.206,0.3384
2,4,792,198,stack_nnls,0.1843,0.3381,0.0,0.1809,0.319
